FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57c0,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Kleme,Agence TDE Kleme,"Agence TDE Kleme, Kleme","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (1.1112900000000001 6.211985)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57bf,Centrale,Mô,Mô 2,Tindjasse,Tindjasse-lao,Agence TDE Tindjasse,"Agence TDE Tindjasse, Tindjasse-Lao","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (0.4643583333333333 8.651355)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57be,Centrale,Mô,Mô 1,Djarkpanga,Djarkpanga,Agence TDE Djarkpanga,"Agence TDE Djarkpanga, Djarkpanga","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (0.5158782320112753 8.719122806083847)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57bd,Centrale,Tchamba,Tchamba 1,Tchamba,Iyiwa,Agence TDE Tchamba,"Agence TDE Tchamba, Iyiwa","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1990,{Utilise},Agence TdE,"{WCs,Latrines a eau,Douches}",POINT (1.416205866486703 9.0222596019592)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57bc,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sondè,Agence TDE Badou Sotouboua,"Agence TDE Badou Sotouboua, Sondè, BP1301 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1982,{Utilise},Agence TdE,{Latrines a eau},POINT (0.9747852558555425 8.560920908514092)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57bb,Centrale,Sotouboua,Sotouboua 2,Adjengré,Chiou,Agence TDE Adjengre,"Agence TDE Adjengre, Chiou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,Nsp,POINT (1.0163476118123587 8.660582203446063)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57ba,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),N/a,Agence TDE Sokodé,"Agence TDE Sokodé, , Bp1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1970,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.1358283333333332 8.980493333333333)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b9,Centrale,Blitta,Blitta 1,Blitta,Bliitta Gare,Agence TDE Blitta,"Agence TDE Blitta, Bliitta Gare","{Lundi,Vendredi,Mardi,Mercredi,jeudi}",2017,{Utilise},Agence TdE,"{Latrines a eau,Douches}",POINT (0.9806849999999999 8.326793333333335)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b8,Centrale,Tchamba,Tchamba 3,Kaboli,Guinigui,Agence TDE Kaboli,"Agence TDE Kaboli, Guinigui, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,"{autre,WCs}",POINT (1.5946566666666664 8.752583333333332)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b7,Centrale,Tchaoudjo,Tchaoudjo 3,Aléhéridè,Aleheride,Site de Production TDE de Sokode,"Site de Production TDE de Sokode, Aleheride","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",Nsp,{En construction},Agence TdE - Admin,"{WCs,Douches}",POINT (1.2107270636361225 9.1869195138154)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b6,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Agence TDE Avepozo,"Agence TDE Avepozo, Avepozo","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (1.3491016666666666 6.176448333333334)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b5,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Agence TDE Djidjole,"Agence TDE Djidjole, Djidjole, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,{WCs},POINT (1.1948599900896464 6.183427112027113)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b4,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Novissi,Agence TDE Novissi,"Agence TDE Novissi, Novissi","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,{WCs},POINT (1.21087263514543 6.32393923983066)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b3,Maritime,Yoto,Yoto 1,Tabligbo,Afonouvi Kome,Agence TDE Tabligbo,"Agence TDE Tabligbo, Afonouvi Kome",Néant,Nsp ,Nsp,Agence TdE,Nsp,POINT (1.5002707190975253 6.596986035818217)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b2,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kitidjan,Agence TDE Agoe Kitidjan,"Agence TDE Agoe Kitidjan, Kitidjan","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence TdE,"{WCs,Latrines a eau}",POINT (1.2112466666666668 6.217350000000001)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b1,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Agence TDE Adidogome,"Agence TDE Adidogome, Adidogome",Néant,Nsp,Nsp,Agence TdE,Nsp,POINT (1.1474216057877236 6.201234203079964)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57b0,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagnon,Agence TDE Elavagnon,"Agence TDE Elavagnon, Elavagnon","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",Nsp ,Nsp,Agence TdE,Nsp,POINT (1.1610142227212732 6.218557241274898)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57af,Maritime,Golfe,Golfe 3,Bè-Ouest,Hedzranawoe,Agence TDE Hedzranawoe,"Agence TDE Hedzranawoe, Hedzranawoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (1.2370933333333334 6.189669999999999)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57ae,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Lankouvi,Agence TDE Lankouvi,"Agence TDE Lankouvi, Lankouvi",Néant,Nsp,Nsp,Agence TdE,Nsp,POINT (1.1262583333333334 6.178853333333333)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57ad,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Fidokpui,Agence TDE Fidokpui,"Agence TDE Fidokpui, Fidokpui",Néant,Nsp,Nsp,Agence TdE,Nsp,POINT (1.2235543216466114 6.261995907409945)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57ac,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin,Agence TDE Tokoin,"Agence TDE Tokoin, Tokoin","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1964,{Utilise},Agence TdE,{WCs},POINT (1.2115468544434738 6.151046307764715)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57ab,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence TDE Adakpame,"Agence TDE Adakpame, Adakpame","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.2750480584935242 6.175258009769491)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57aa,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Séminaire,Agence TDE Tokoin Séminaire,"Agence TDE Tokoin Séminaire, Tokoin Séminaire","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,{Latrines a eau},POINT (1.2116622917387387 6.150744708525775)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a9,Kara,Kéran,Kéran 1,Kantè,Ate-kante,Agence TDE Kande,"Agence TDE Kande, Ate-Kante","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",1976,{Utilise},Agence TdE,{Latrines a eau},POINT (1.045007363871026 9.958542267113074)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a8,Kara,Assoli,Assoli 1,Bafilo,Agoudade,Agence TDE Bafilo,"Agence TDE Bafilo, Agoudade, BP03","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,{Utilise},Agence TdE,{WCs},POINT (1.2479216666666666 9.350283333333334)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a7,Kara,Binah,Binah 2,Kétao,Piawai 1,Agence TDE Piawai 1,"Agence TDE Piawai 1, Piawai 1, BP1301","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.3053506757654043 9.658945176119053)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a6,Kara,Binah,Binah 1,Pagouda,Waze,Agence TDE Pagouda,"Agence TDE Pagouda, Waze, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.3226839970613324 9.742307420103957)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a5,Kara,Kozah,Kozah 2,Pya,Lao,Agence TDE Pya,"Agence TDE Pya, Lao","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE,"{WCs,Latrines a eau}",POINT (1.1425970837376627 9.64547848969707)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a4,Maritime,Avé,Avé 2,Badja,Behtel ,Agence TDE Behtel ,"Agence TDE Behtel , Behtel ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence TdE,{Latrines a eau},POINT (0.9856483333333333 6.381915)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a3,Kara,Kozah,Kozah 1,Commune De Kara,Teloude,Agence TDE Kara,"Agence TDE Kara, Teloude, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1978,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.1862849999999998 9.560888333333333)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a2,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Guerin Kouka,Agence TDE Guerin Kouka,"Agence TDE Guerin Kouka, Guerin Kouka, BP1301 Lomé","{Mardi,jeudi,Vendredi,Mercredi,Lundi}",1996,{Utilise},Agence TdE,"{WCs,Douches}",POINT (0.6089826017956206 9.684193557131456)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a1,Kara,Bassar,Bassar 3,Kabou,Kondifou,Agence TDE Kondifou,"Agence TDE Kondifou, Kondifou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,"{Latrines a eau,Douches}",POINT (0.8276122054950664 9.46104072117274)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-57a0,Kara,Bassar,Bassar 1,Bassar,Bikoundjib,Agence TDE Bassar,"Agence TDE Bassar, Bikoundjib","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1979,{Utilise},Agence TdE,{Latrines a eau},POINT (0.7813998030932506 9.259321425883584)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579f,Kara,Doufelgou,Doufelgou 1,Niamtougou,Rakouka,Agence TDE Niamtougou,"Agence TDE Niamtougou, Rakouka, BP176 ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence TdE,Nsp,POINT (1.1145233333333333 9.763061666666665)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579e,Kara,Kozah,Kozah 2,Pya,Kpatayou,Agence TDE Centre de Production de Kara,"Agence TDE Centre de Production de Kara, Kpatayou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1978,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.1784582137506876 9.685445437942647)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579d,Maritime,Zio,Zio 1,Djagblé,Djagble ,Agence TDE Djagble,"Agence TDE Djagble, Djagble ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.2832616666666667 6.256736666666666)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579c,Maritime,Vo,Vo 1,Vogan,Novissi ,Agence TDE Vogan,"Agence TDE Vogan, Novissi , BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,{Utilise},Agence TdE,{WCs},POINT (1.5350085412007384 6.338630352843885)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579b,Maritime,Zio,Zio 1,Tsévié,Ndanyi,Agence TDE Tsevie,"Agence TDE Tsevie, Ndanyi",Néant,Nsp ,Nsp,Agence TdE,Nsp,POINT (1.2093154352016042 6.426965412668503)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-579a,Maritime,Avé,Avé 1,Kévé,Apeyeme,Agence TDE Apeyeme,"Agence TDE Apeyeme, Apeyeme, BP1300","{Mardi,Lundi,Mercredi,jeudi,Vendredi}",2012,{Inacheve},Agence TdE,{Latrines a eau},POINT (0.9210366666666666 6.439933333333332)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5799,Maritime,Zio,Zio 1,Gbatopé,Adangbe,Agence TDE de Adangbe,"Agence TDE de Adangbe, Adangbe","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Inacheve},Agence TdE,{Latrines a eau},POINT (1.2927042073332893 6.5261399860205005)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5798,Maritime,Lacs,Lacs 1,Aného,Kpota,Agence TDE Aneho,"Agence TDE Aneho, Kpota, BP1391",Néant,Nsp ,Nsp,Agence TdE,Nsp,POINT (1.5923277484928626 6.229005084407101)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5797,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun,Agence TDE Tohoun,"Agence TDE Tohoun, Tohoun","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,{Utilise},Agence TdE,{Latrines a eau},POINT (1.6186766666666665 7.021133333333334)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5796,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Amedeka,Agence TDE Amedeka,"Agence TDE Amedeka, Amedeka, 1301BP","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2016,{Utilise},Agence TdE,{WCs},POINT (1.28732419547335 7.964301868406428)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5795,Plateaux,Wawa,Wawa 1,Badou,Badou,Agence TDE Badou,"Agence TDE Badou, Badou, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,{Utilise},Agence TdE,Nsp,POINT (0.6083821918114362 7.5803655509441485)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5794,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Agence TDE Kpalime,"Agence TDE Kpalime, Kpalime","{Lundi,Vendredi,jeudi,Mercredi,Mardi}",1999,{Utilise},Agence TdE,{Latrines a eau},POINT (0.6300749711357062 6.910722651237976)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5793,Plateaux,Haho,Haho 4,Wahala,Wahala,Agence TDE Badou Wahala,"Agence TDE Badou Wahala, Wahala","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.16225 7.1747250000000005)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5792,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Noumetsoukondji,Poste de Distribution TDE Noumetsou,"Poste de Distribution TDE Noumetsou, Noumetsoukondji, BP389 Kpalimé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence TdE - Admin,"{WCs,Douches}",POINT (0.6405153229539751 6.915618719743668)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5791,Plateaux,Amou,Amou 2,Amou-Oblo,Atokou Itse,Agence TDE Amou Oblo,"Agence TDE Amou Oblo, Atokou Itse","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,"{Latrines a eau,Douches}",POINT (0.8649433333333333 7.382396666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5790,Plateaux,Anié,Anié 1,Anié,Anie,Agence TDE Anie,"Agence TDE Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,{Utilise},Agence TdE,"{Douches,WCs}",POINT (1.1903949999999999 7.767454999999999)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578f,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence TDE Notse,"Agence TDE Notse, Tegbe, BP1309","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,{Utilise},Agence TdE,{WCs},POINT (1.17011 6.955261666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578e,Plateaux,Agou,Agou 1,Agou-Tavié,Gadzefe,Agence TDE Gadzefe,"Agence TDE Gadzefe, Gadzefe, BP1301","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Utilise},Agence TdE,{WCs},POINT (0.7243757449946927 6.846419120766473)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578d,Plateaux,Ogou,Ogou 1,Gnagna,N/a,Agence TDE Atakpame,"Agence TDE Atakpame, ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,{Utilise},Agence TdE,"{WCs,Douches}",POINT (1.1415485683198898 7.521947538205171)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578c,Plateaux,Amou,Amou 1,Amlamé (Ouma),Amlame,Agence TDE Amlame,"Agence TDE Amlame, Amlame","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,{Utilise},Agence TdE,{Latrines a eau},POINT (0.9058701530038282 7.464763460828804)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578b,Plateaux,Danyi,Danyi 1,Danyi-Atigba,Danyi Apeyeme,Agence TDE Danyi,"Agence TDE Danyi, Danyi Apeyeme","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,{En construction},Agence TdE,Nsp,POINT (0.6986232731236114 7.21116713857662)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-578a,Savanes,Tône,Tône 1,Dapaong,Komboloaga,Agence TDE Dapaong,"Agence TDE Dapaong, Komboloaga","{Mardi,Mercredi,jeudi,Vendredi}",Nsp ,{Utilise},Agence TdE,{Latrines a eau},POINT (0.1961716666666667 10.872121666666665)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5789,Savanes,Oti,Oti 1,Mango,Djabou,Agence TDE Mango,"Agence TDE Mango, Djabou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1979,{Utilise},Agence TdE,{Latrines a eau},POINT (0.4735916666666667 10.362786666666667)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5788,Savanes,Tandjoaré,Tandjoaré 1,Bogou,Nadodani,Agence TDE Tandjouare,"Agence TDE Tandjouare, Nadodani","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Utilise},Agence TdE,Nsp,POINT (0.1975883333333333 10.670528333333333)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5787,Savanes,Oti-Sud,Oti-Sud 1,Gando,Gando ,Agence TDE Gando,"Agence TDE Gando, Gando ","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2017,{Utilise},Agence TdE,Nsp,POINT (0.7446067648433049 10.329669348355042)
_mview_agences_etablissements_agences.fid-7111a9c0_19415ae4b4d_-5786,Maritime,Golfe,Golfe 4,Amoutivé,Amoutive,Agence TDE Amoutive,"Agence TDE, Amoutive, BP 1301","{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",1964,N/a,Agence TdE,N/a,POINT (1.2239170962945194 6.1301788680227975)
